magia record: mahou shoujo madoka magica gaiden,3,12966,magia record,マギアレコード
stardust crusaders,3,12895,,スターダストクルセイダース
fire emblem engage,3,12840,,ファイアーエムブレムエンゲージ
pokemon black 2 and white 2,3,12819,pokemon bw2,ポケモンBW2
eiyuu densetsu,3,12626,,英雄伝説
girls band cry,3,12595,,ガールズバンドクライ
rwby,3,12584,,RWBYイラコン
kamen rider,3,12374,,仮面ライダー
blazblue,3,12288,,ブレイブルー
monster hunter (series),3,12277,,モンスターハンター
cho kaguya-hime!,3,12221,"chou kaguya-hime!,cosmic princess kaguya!",超かぐや姫!
rebuild of evangelion,3,12129,,ヱヴァンゲリヲン新劇場版
mahou shoujo lyrical nanoha,3,12112,,魔法少女リリカルなのは
umineko no naku koro ni,3,12108,,うみねこのなく頃に
mahou shoujo lyrical nanoha strikers,3,12077,,魔法少女リリカルなのはStrikerS
inazuma eleven (series),3,12036,,イナズマイレブン
fate/kaleid liner prisma illya,3,12031,,プリズマ☆イリヤ
cookie (touhou),3,12003,,クッキー☆
pokemon x and y,3,11948,pokemon xy,ポケモンXY
gundam suisei no majo,3,11723,gundam the witch from mercury,機動戦士ガンダム水星の魔女
senki zesshou symphogear,3,11631,senki zesshou symphogear xv,戦姫絶唱シンフォギア
super smash bros.,3,11600,,大乱闘スマッシュブラザーズ
nikki (series),3,11561,,ニキシリーズ
rozen maiden,3,11222,,ローゼンメイデン
mahou shoujo no majo saiban,3,11192,"magical girl witch trials,manosaba",魔法少女ノ魔女裁判
hololive indonesia,3,11137,,ホロライブID
tengen toppa gurren lagann,3,10971,,天元突破グレンラガン
cardcaptor sakura,3,10952,,カードキャプターさくら
onii-chan wa oshimai!,3,10888,onimai,おにまい
the legend of zelda: breath of the wild,3,10826,botw,ゼルダの伝説ブレスオブザワイルド
atelier (series),3,10701,,アトリエ
macross,3,10664,,マクロス
guilty gear strive,3,10614,,ギルティギアストライヴ
vento aureo,3,10569,golden wind,黄金の風
pretty series,3,10491,pretty (series),プリティーシリーズ
axis powers hetalia,3,10355,,ヘタリア
lycoris recoil,3,10202,,リコリス・リコイル
heaven burns red,3,10184,,ヘブンバーンズレッド
naruto (classic),3,10111,,ナルト
pokemon masters ex,3,10053,,ポケモンマスターズ
last origin,3,10006,,ラストオリジン
deltarune,3,9923,,デルタルーン
battle tendency,3,9922,,JOJO的奇妙冒险:战斗潮流
naruto shippuuden,3,9861,,ナルト疾風伝
pokemon heartgold and soulsilver,3,9763,pokemon hgss,ポケモンHGSS
girls' frontline 2: exilium,3,9758,gfl2,ドールズフロントライン2
fate/extra ccc,3,9705,,運命/余分なCCC
splatoon 3,3,9524,,スプラトゥーン3
hololive dev is,3,9520,,ホロライブDEV_IS
pokemon legends: arceus,3,9494,,LEGENDSアルセウス
smile precure!,3,9437,"smile pretty cure,smile pretty cure!",スマイルプリキュア!
oshi no ko,3,9310,,推しの子
steins;gate,3,9173,,シュタインズゲート
undertale,3,9062,,あんだーてーる
the legend of zelda: tears of the kingdom,3,9060,totk,ゼルダの伝説ティアーズオブザキングダム
